"","X","X.Summons.Number","Plate.ID","Issue.Date","Violation.Code","Vehicle.Make","Street.Code1","Street.Code2","Street.Code3","Violation.Time","House.Number","Vehicle.Color","Month","st.name","intersect.st","adress","lat","lng"
"40116",6041368,1403190460,"67036ME","2016-01-12",46,"FORD",19250,25390,27790,"0440P","70","WHITE",1,"E 115 ST",NA,"70 E 115 ST New York, NY",40.7983799,-73.9444939
"40117",9908494,8047794980,"42523ME","2016-05-03",46,"FORD",17250,10210,10110,"0637P","244","WHITE",5,"E 13th St",NA,"244 E 13th St New York, NY",40.7317909,-73.9860978
"40118",337416,8023592749,"GKY1332","2015-07-28",21,"NISSA",37496,73110,44430,"0842A","617","BK",7,"E 77th St",NA,"617 E 77th St New York, NY",40.7694936,-73.9499945
"40119",8255502,1405397998,"GYV4294","2016-02-28",21,"INFIN",85930,93530,54100,"1206P","247","GREY",2,"TROUTMAN ST",NA,"247 TROUTMAN ST New York, NY",40.7030108,-73.9266178
"40120",2110785,8008145614,"FWH6407","2015-08-06",38,"NISSA",54580,15140,15290,"0110P","72-06","WH",8,"Main St",NA,"72-06 Main St New York, NY",40.7265156,-73.8217619
"40121",1547558,7503076264,"12283MG","2015-08-26",14,"FRUEH",42730,42900,54650,"1111A","408","BROWN",8,"Fulton St",NA,"408 Fulton St New York, NY",40.7126205,-74.0132592
"40122",3386325,7238332061,"FMB5778","2015-10-08",71,"CHEVR",5430,8280,8330,"0149P","920","BL",10,"4th Ave",NA,"920 4th Ave New York, NY",40.6554706,-74.0035734
"40123",3627345,8036221469,"FCZ3066","2015-10-18",17,"TOYOT",93250,11800,70130,"0226P","6","GY",10,"Willoughby St",NA,"6 Willoughby St New York, NY",40.6922491,-73.9881816
"40124",5090736,8025821377,"GMK7245","2015-11-28",40,"VOLKS",8990,35780,22590,"1259P","136-08","RD",11,"38th Ave",NA,"136-08 38th Ave New York, NY",40.7608413,-73.8303608
"40125",9253480,4620058099,"GHF4213","2016-05-18",36,"NISSA",10350,40404,40404,"0112P","","BK",5,"WB 4TH AVE "," 41ST ST"," WB 4TH AVE @ 41ST ST New York, NY",40.7583365,-73.9941984
"40126",7104018,8031852789,"2WH163","2016-02-24",19,"FORD",13610,37130,31190,"1022A","4009","RED",2,"Broadway",NA,"4009 Broadway New York, NY",40.8415293,-73.9398534
